"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"9","","0","The Internet Guinea Pig Website: As a user, I can log into the secure area","9","1","","0"
"0","","0","Sign up functionality: User should be able to create a new account","0","3","","0"
"0","","0","Login functionality for invalid scenario: As a user, I can log into the secure area","4","0","","0"
"5","","0","Login functionality: User should be able to login with valid credentials","6","0","","0"
"0","","5","","0","0","","0"
"0","","0","Login functionality for success scenario: User should be able to login with valid credentials","3","0","","0"
